date_time,declination,distance
2022-01-01 01:00,-24.900559740652035,0.002382621882402568
2022-01-01 02:00,-25.045927197856493,0.002380052484046286
2022-01-01 03:00,-25.167590336723492,0.0023793554756331528
2022-01-01 04:00,-25.265006115334113,0.0023805468134616968
2022-01-01 05:00,-25.339132484682214,0.002383521745387249
2022-01-01 06:00,-25.392345531981544,0.0023880625652350105
2022-01-01 07:00,-25.42823322275337,0.002393854195130755
2022-01-01 08:00,-25.45129592739487,0.002400506141971175
2022-01-01 09:00,-25.466593413774017,0.002407578902265354
2022-01-01 10:00,-25.479378770595524,0.00241461268639378
2022-01-01 11:00,-25.494753205555703,0.00242115638171293
2022-01-01 12:00,-25.517364936090072,0.0024267949115191687
2022-01-01 13:00,-25.551163904914368,0.0024311734915645634
2022-01-01 14:00,-25.599214521674057,0.002434017659970981
2022-01-01 15:00,-25.66356254596156,0.002435148303188724
2022-01-01 16:00,-25.74514989597956,0.002434491190018644
2022-01-01 17:00,-25.843772056192584,0.002432080752854354
2022-01-01 18:00,-25.958075860517773,0.002428058034444518
2022-01-01 19:00,-26.085599531465483,0.0024226628755489124
2022-01-01 20:00,-26.222860670197694,0.0024162205842003445
2022-01-01 21:00,-26.365500111518735,0.0024091235287610037
2022-01-01 22:00,-26.508488953665797,0.00240180835300077
2022-01-01 23:00,-26.6464017085542,0.0023947298241142403
2022-01-02 00:00,-26.773750118590417,0.0023883326733406076
2022-01-02 01:00,-26.88536056077461,0.0023830231274854586
2022-01-02 02:00,-26.976765278568333,0.0023791420897773708
2022-01-02 03:00,-27.044567299433808,0.00237694203169443
2022-01-02 04:00,-27.086734519276952,0.0023765695367563007
2022-01-02 05:00,-27.10278279081447,0.0023780550606838985
2022-01-02 06:00,-27.09382131993773,0.0023813108626883697
2022-01-02 07:00,-27.062453682983985,0.0023861372999819212
2022-01-02 08:00,-27.012549434201077,0.002392236883191918
2022-01-02 09:00,-26.948919084099792,0.0023992347943110437
2022-01-02 10:00,-26.876935123341386,0.0024067040743185174
2022-01-02 11:00,-26.8021424110784,0.0024141934457696775
2022-01-02 12:00,-26.729894123013644,0.002421255739295584
2022-01-02 13:00,-26.665037851723913,0.0024274750889556143
2022-01-02 14:00,-26.611664039715908,0.0024324913737455004
2022-01-02 15:00,-26.5729186027214,0.0024360207358791264
2022-01-02 16:00,-26.550874954441248,0.002437871342816184
2022-01-02 17:00,-26.546457996944678,0.0024379538464189094
2022-01-02 18:00,-26.55941341031088,0.0024362862206628935
2022-01-02 19:00,-26.588318684495036,0.0024329928400595602
2022-01-02 20:00,-26.63063651035901,0.0024282978180419066
2022-01-02 21:00,-26.682815061064915,0.002422512787330468
2022-01-02 22:00,-26.74044204268755,0.0024160195008727037
2022-01-02 23:00,-26.798458969209996,0.0024092478825443703
2022-01-03 00:00,-26.851438017541224,0.0024026504664827236
2022-01-03 01:00,-26.89391577875169,0.0023966745160965133
2022-01-03 02:00,-26.920767028766097,0.0023917334662059775
2022-01-03 03:00,-26.927589391672754,0.002388179618713193
2022-01-03 04:00,-26.911059719716377,0.002386280164613955
2022-01-03 05:00,-26.86921878669252,0.002386198531686091
2022-01-03 06:00,-26.801645187007992,0.002387982727243173
2022-01-03 07:00,-26.709492582005062,0.0023915617711678327
2022-01-03 08:00,-26.595384173896797,0.0023967505669945095
2022-01-03 09:00,-26.463179724140776,0.002403262754906384
2022-01-03 10:00,-26.317648123511947,0.0024107303622407446
2022-01-03 11:00,-26.164088371691456,0.002418728525533012
2022-01-03 12:00,-26.00794244121664,0.002426803265143636
2022-01-03 13:00,-25.85443631011308,0.002434500251948567
2022-01-03 14:00,-25.708273717882104,0.002441392668960575
2022-01-03 15:00,-25.573394617593404,0.0024471065651027377
2022-01-03 16:00,-25.45279979133214,0.002451342446588749
2022-01-03 17:00,-25.348436278097942,0.0024538921916242608
2022-01-03 18:00,-25.261135457823023,0.002454650668986801
2022-01-03 19:00,-25.190596248313582,0.0024536216783261925
2022-01-03 20:00,-25.135408814765988,0.002450918018419775
2022-01-03 21:00,-25.093118192558684,0.0024467556518950975
2022-01-03 22:00,-25.060330991241408,0.002441442100877495
2022-01-03 23:00,-25.032870639132852,0.0024353594074643836
2022-01-04 00:00,-25.005986328543308,0.0024289422485541446
2022-01-04 01:00,-24.974617116729117,0.0024226521144238076
2022-01-04 02:00,-24.93370531881881,0.0024169488303779894
2022-01-04 03:00,-24.878543148690976,0.0024122610803007922
2022-01-04 04:00,-24.805125491718933,0.0024089579119733256
2022-01-04 05:00,-24.710472722034204,0.0024073233846552684
2022-01-04 06:00,-24.59288394488579,0.0024075364795352783
2022-01-04 07:00,-24.45208539533484,0.002409658084800736
2022-01-04 08:00,-24.28925130097146,0.002413626293911624
2022-01-04 09:00,-24.10689297622524,0.002419260486257417
2022-01-04 10:00,-23.908631773156454,0.0024262738135872124
2022-01-04 11:00,-23.698887707746746,0.0024342929339750603
2022-01-04 12:00,-23.482524341255676,0.002442883239859
2022-01-04 13:00,-23.264490597422963,0.0024515774898836284
2022-01-04 14:00,-23.049493051476688,0.0024599056850265247
2022-01-04 15:00,-22.841720954053923,0.002467424182553496
2022-01-04 16:00,-22.644634326703944,0.002473742339799376
2022-01-04 17:00,-22.460815611179196,0.002478545341329236
2022-01-04 18:00,-22.291879031951716,0.0024816122203809615
2022-01-04 19:00,-22.138429282833577,0.002482828396976799
2022-01-04 20:00,-22.000061759057413,0.0024821923062176166
2022-01-04 21:00,-21.875399266832584,0.0024798158891685134
2022-01-04 22:00,-21.76216375307694,0.002475918889207293
